year,standing,teams,points,diff,goals,goals_conceded
1996,1,Dortmund,68,38.0,76.0,38.0
1996,2,Bayern Munich,62,20.0,66.0,46.0
1996,3,Schalke 04,56,9.0,45.0,36.0
1996,4,M'gladbach,53,1.0,52.0,51.0
1996,5,Hamburg,50,5.0,52.0,47.0
1996,6,Hansa Rostock,49,4.0,47.0,43.0
1996,7,Karlsruhe,48,6.0,53.0,47.0
1996,8,Munich 1860,45,6.0,52.0,46.0
1996,9,Werder Bremen,44,-3.0,39.0,42.0
1996,10,Stuttgart,43,-3.0,59.0,62.0
1996,11,Freiburg,42,-11.0,30.0,41.0
1996,12,FC Koln,40,-2.0,33.0,35.0
1996,13,Dusseldorf,40,-7.0,40.0,47.0
1996,14,Leverkusen,38,-1.0,37.0,38.0
1996,15,St Pauli,38,-8.0,43.0,51.0
1996,16,Kaiserslautern,36,-6.0,31.0,37.0
1996,17,Ein Frankfurt,32,-25.0,43.0,68.0
1996,18,Uerdingen,26,-23.0,33.0,56.0
1997,1,Bayern Munich,71,34.0,68.0,34.0
1997,2,Leverkusen,69,28.0,69.0,41.0
1997,3,Dortmund,63,22.0,63.0,41.0
1997,4,Stuttgart,61,38.0,78.0,40.0
1997,5,Bochum,53,3.0,54.0,51.0
1997,6,Karlsruhe,49,11.0,55.0,44.0
1997,7,Munich 1860,49,0.0,56.0,56.0
1997,8,Werder Bremen,48,1.0,53.0,52.0
1997,9,Duisburg,45,-5.0,44.0,49.0
1997,10,FC Koln,44,0.0,62.0,62.0
1997,11,M'gladbach,43,-2.0,46.0,48.0
1997,12,Schalke 04,43,-5.0,35.0,40.0
1997,13,Hamburg,41,-14.0,46.0,60.0
1997,14,Bielefeld,40,-8.0,46.0,54.0
1997,15,Hansa Rostock,40,-11.0,35.0,46.0
1997,16,Dusseldorf,33,-31.0,26.0,57.0
1997,17,Freiburg,29,-24.0,43.0,67.0
1997,18,St Pauli,27,-37.0,32.0,69.0
1998,1,Kaiserslautern,68,24.0,63.0,39.0
1998,2,Bayern Munich,66,32.0,69.0,37.0
1998,3,Leverkusen,55,27.0,66.0,39.0
1998,4,Stuttgart,52,6.0,55.0,49.0
1998,5,Schalke 04,52,6.0,38.0,32.0
1998,6,Hansa Rostock,51,8.0,54.0,46.0
1998,7,Werder Bremen,50,-4.0,43.0,47.0
1998,8,Duisburg,44,-1.0,43.0,44.0
1998,9,Hamburg,44,-8.0,38.0,46.0
1998,10,Dortmund,43,2.0,57.0,55.0
1998,11,Hertha,43,-12.0,41.0,53.0
1998,12,Bochum,41,-8.0,41.0,49.0
1998,13,Munich 1860,41,-11.0,43.0,54.0
1998,14,Wolfsburg,39,-16.0,38.0,54.0
1998,15,M'gladbach,38,-5.0,54.0,59.0
1998,16,Karlsruhe,38,-12.0,48.0,60.0
1998,17,FC Koln,36,-15.0,49.0,64.0
1998,18,Bielefeld,32,-13.0,43.0,56.0
1999,1,Bayern Munich,78,48.0,76.0,28.0
1999,2,Leverkusen,63,31.0,61.0,30.0
1999,3,Hertha,62,27.0,59.0,32.0
1999,4,Dortmund,57,14.0,48.0,34.0
1999,5,Kaiserslautern,57,4.0,51.0,47.0
1999,6,Wolfsburg,55,5.0,54.0,49.0
1999,7,Hamburg,50,1.0,47.0,46.0
1999,8,Duisburg,49,3.0,48.0,45.0
1999,9,Munich 1860,41,-7.0,49.0,56.0
1999,10,Schalke 04,41,-13.0,41.0,54.0
1999,11,Stuttgart,39,-7.0,41.0,48.0
1999,12,Freiburg,39,-8.0,36.0,44.0
1999,13,Werder Bremen,38,-6.0,41.0,47.0
1999,14,Hansa Rostock,38,-9.0,49.0,58.0
1999,15,Ein Frankfurt,37,-10.0,44.0,54.0
1999,16,Nurnberg,37,-10.0,40.0,50.0
1999,17,Bochum,29,-25.0,40.0,65.0
1999,18,M'gladbach,21,-38.0,41.0,79.0
2000,1,Bayern Munich,73,45.0,73.0,28.0
2000,2,Leverkusen,73,38.0,74.0,36.0
2000,3,Hamburg,59,24.0,63.0,39.0
2000,4,Munich 1860,53,7.0,55.0,48.0
2000,5,Kaiserslautern,50,-5.0,54.0,59.0
2000,6,Hertha,50,-7.0,39.0,46.0
2000,7,Wolfsburg,49,-7.0,51.0,58.0
2000,8,Stuttgart,48,-3.0,44.0,47.0
2000,9,Werder Bremen,47,13.0,65.0,52.0
2000,10,Unterhaching,44,-2.0,40.0,42.0
2000,11,Ein Frankfurt,41,-2.0,42.0,44.0
2000,12,Dortmund,40,3.0,41.0,38.0
2000,13,Freiburg,40,-5.0,45.0,50.0
2000,14,Schalke 04,39,-2.0,42.0,44.0
2000,15,Hansa Rostock,38,-16.0,44.0,60.0
2000,16,Ulm,35,-26.0,36.0,62.0
2000,17,Bielefeld,30,-21.0,40.0,61.0
2000,18,Duisburg,22,-34.0,37.0,71.0
2001,1,Bayern Munich,63,25.0,62.0,37.0
2001,2,Schalke 04,62,30.0,65.0,35.0
2001,3,Dortmund,58,20.0,62.0,42.0
2001,4,Leverkusen,57,14.0,54.0,40.0
2001,5,Hertha,56,6.0,58.0,52.0
2001,6,Freiburg,55,17.0,54.0,37.0
2001,7,Werder Bremen,53,5.0,53.0,48.0
2001,8,Kaiserslautern,50,-5.0,49.0,54.0
2001,9,Wolfsburg,47,15.0,60.0,45.0
2001,10,FC Koln,46,7.0,59.0,52.0
2001,11,Munich 1860,44,-12.0,43.0,55.0
2001,12,Hansa Rostock,43,-13.0,34.0,47.0
2001,13,Hamburg,41,0.0,58.0,58.0
2001,14,Cottbus,39,-14.0,38.0,52.0
2001,15,Stuttgart,38,-7.0,42.0,49.0
2001,16,Unterhaching,35,-24.0,35.0,59.0
2001,17,Ein Frankfurt,35,-27.0,41.0,68.0
2001,18,Bochum,27,-37.0,30.0,67.0
2002,1,Dortmund,70,29.0,62.0,33.0
2002,2,Leverkusen,69,39.0,77.0,38.0
2002,3,Bayern Munich,68,40.0,65.0,25.0
2002,4,Hertha,61,23.0,61.0,38.0
2002,5,Schalke 04,61,16.0,52.0,36.0
2002,6,Werder Bremen,56,11.0,54.0,43.0
2002,7,Kaiserslautern,56,9.0,62.0,53.0
2002,8,Stuttgart,50,4.0,47.0,43.0
2002,9,Munich 1860,50,0.0,59.0,59.0
2002,10,Wolfsburg,46,8.0,57.0,49.0
2002,11,Hamburg,40,-6.0,51.0,57.0
2002,12,M'gladbach,39,-12.0,41.0,53.0
2002,13,Cottbus,35,-24.0,36.0,60.0
2002,14,Hansa Rostock,34,-19.0,35.0,54.0
2002,15,Nurnberg,34,-23.0,34.0,57.0
2002,16,Freiburg,30,-27.0,37.0,64.0
2002,17,FC Koln,29,-35.0,26.0,61.0
2002,18,St Pauli,22,-33.0,37.0,70.0
2003,1,Bayern Munich,75,45.0,70.0,25.0
2003,2,Stuttgart,59,14.0,53.0,39.0
2003,3,Dortmund,58,24.0,51.0,27.0
2003,4,Hamburg,56,10.0,46.0,36.0
2003,5,Hertha,54,9.0,52.0,43.0
2003,6,Werder Bremen,52,1.0,51.0,50.0
2003,7,Schalke 04,49,6.0,46.0,40.0
2003,8,Wolfsburg,46,-3.0,39.0,42.0
2003,9,Bochum,45,-1.0,55.0,56.0
2003,10,Munich 1860,45,-8.0,44.0,52.0
2003,11,Hannover,43,-10.0,47.0,57.0
2003,12,M'gladbach,42,-2.0,43.0,45.0
2003,13,Hansa Rostock,41,-6.0,35.0,41.0
2003,14,Kaiserslautern,40,-2.0,40.0,42.0
2003,15,Leverkusen,40,-9.0,47.0,56.0
2003,16,Bielefeld,36,-11.0,35.0,46.0
2003,17,Nurnberg,30,-27.0,33.0,60.0
2003,18,Cottbus,30,-30.0,34.0,64.0
2004,1,Werder Bremen,74,41.0,79.0,38.0
2004,2,Bayern Munich,68,31.0,70.0,39.0
2004,3,Leverkusen,65,34.0,73.0,39.0
2004,4,Stuttgart,64,28.0,52.0,24.0
2004,5,Bochum,56,18.0,57.0,39.0
2004,6,Dortmund,55,11.0,59.0,48.0
2004,7,Schalke 04,50,7.0,49.0,42.0
2004,8,Hamburg,49,-13.0,47.0,60.0
2004,9,Hansa Rostock,44,1.0,55.0,54.0
2004,10,Wolfsburg,42,-5.0,56.0,61.0
2004,11,M'gladbach,39,-9.0,40.0,49.0
2004,12,Hertha,39,-17.0,42.0,59.0
2004,13,Freiburg,38,-25.0,42.0,67.0
2004,14,Hannover,37,-14.0,49.0,63.0
2004,15,Kaiserslautern,36,-23.0,39.0,62.0
2004,16,Ein Frankfurt,32,-17.0,36.0,53.0
2004,17,Munich 1860,32,-23.0,32.0,55.0
2004,18,FC Koln,23,-25.0,32.0,57.0
2005,1,Bayern Munich,77,42.0,75.0,33.0
2005,2,Schalke 04,63,10.0,56.0,46.0
2005,3,Werder Bremen,59,31.0,68.0,37.0
2005,4,Hertha,58,28.0,59.0,31.0
2005,5,Stuttgart,58,14.0,54.0,40.0
2005,6,Leverkusen,57,21.0,65.0,44.0
2005,7,Dortmund,55,3.0,47.0,44.0
